2026-09-11 19:34:20,099 | INFO | src.data.preprocessing | Preprocessing complete: 3 rows remain
2026-09-11 19:34:20,101 | INFO | src.data.preprocessing | Deduplication removed 1 rows
2026-09-11 19:34:20,106 | INFO | src.data.preprocessing | Preprocessing complete: 3 rows remain
2026-09-11 19:41:01,188 | INFO | src.data.ingestion | Ingested sample_appointments.csv: 25 raw rows, 25 valid, 0 errors
2026-09-11 19:41:01,189 | INFO | src.data.preprocessing | Deduplication removed 0 rows
2026-09-11 19:41:01,196 | INFO | src.data.preprocessing | Preprocessing complete: 25 rows remain
2026-09-11 19:41:01,204 | INFO | src.features.feature_engineering | Engineered features: 25 rows, 24 columns
2026-09-11 19:41:01,357 | INFO | src.models.train | Applied SMOTE (k_neighbors=4): 17 -> 24 training rows
2026-09-11 19:41:01,358 | INFO | src.models.train | Training candidate: logistic_regression
2026-09-11 19:41:03,528 | INFO | src.models.train | logistic_regression val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
2026-09-11 19:41:03,528 | INFO | src.models.train | Training candidate: decision_tree
2026-09-11 19:41:03,713 | INFO | src.models.train | decision_tree val metrics: {'accuracy': 0.75, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [1, 0]]}
2026-09-11 19:41:03,714 | INFO | src.models.train | Training candidate: random_forest
2026-09-11 19:41:04,783 | INFO | src.models.train | random_forest val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
2026-09-11 19:41:04,784 | INFO | src.models.train | Training candidate: xgboost
2026-09-11 19:41:05,007 | INFO | src.models.train | xgboost val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
2026-09-11 19:41:05,007 | INFO | src.models.train | Training candidate: svm
2026-09-11 19:41:05,040 | INFO | src.models.train | svm val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
